name,type,city,phone,email,website_status,demo_url,text_message,email_subject,email_body
beauty go hair salon,hair salon,Mississauga ON,+1 905-897-7373,,no website,https://demos.wrenchdigital.ca/beauty-go-hair-salon,"Hey Beauty Go Hair Salon, check out your free demo website: https://demos.wrenchdigital.ca/beauty-go-hair-salon",Get Online with a Stunning Website for Beauty Go Hair Salon,"Hi Beauty Go Hair Salon team, I'm Shaan from Wrench Digital. I noticed you don't have a website and I'd love to help. Check out a free demo: https://demos.wrenchdigital.ca/beauty-go-hair-salon. Let's chat about getting you online!"
Union Social Eatery,restaurant,Mississauga ON,+1 905-814-1234,,no website,https://demos.wrenchdigital.ca/union-social-eatery,"Hey, I'm Shaan from Wrench Digital. Check out your free restaurant website demo: https://demos.wrenchdigital.ca/union-social-eatery",Get Online with a Professional Website,"Hi Union Social Eatery, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/union-social-eatery"
Gyu Kyou Japanese BBQ,restaurant,Mississauga ON,+1 416-860-1288,,no website,https://demos.wrenchdigital.ca/gyu-kyou-japanese-bbq,"Hey Gyu Kyou, check out your free website demo: https://demos.wrenchdigital.ca/gyu-kyou-japanese-bbq",Boost Your Restaurant's Online Presence,"Hi Gyu Kyou Japanese BBQ, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/gyu-kyou-japanese-bbq"
My Garage Inc. Mississauga Mechanic & Auto Repair Shop,auto repair,Mississauga ON,+1 905-566-0114,,no website,https://demos.wrenchdigital.ca/my-garage-inc-mississauga-mechanic-auto-repair-shop,"Hey My Garage Inc, check out your free demo website: https://demos.wrenchdigital.ca/my-garage-inc-mississauga-mechanic-auto-repair-shop",Boost Your Auto Repair Shop Online,"Hi My Garage Inc. team, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer a free demo: https://demos.wrenchdigital.ca/my-garage-inc-mississauga-mechanic-auto-repair-shop. Let's discuss how a website can help your business."
TMS Auto Clinic,auto repair,Mississauga ON,+1 416-827-5927,,no website,https://demos.wrenchdigital.ca/tms-auto-clinic,"Hey TMS Auto Clinic, check out your free auto repair website demo: https://demos.wrenchdigital.ca/tms-auto-clinic",Grow Your Auto Repair Business Online,"Hi TMS Auto Clinic, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/tms-auto-clinic. Let's chat about growing your business online."
Syed Auto,auto repair,Mississauga ON,+1 647-618-3604,,no website,https://demos.wrenchdigital.ca/syed-auto,"Hey Syed Auto, check out your free demo website: https://demos.wrenchdigital.ca/syed-auto",Get found online with a website for Syed Auto,"Hi Syed Auto, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer a free demo: https://demos.wrenchdigital.ca/syed-auto. Let's get you online!"
Mo's Onsite Auto Fix,auto repair,Mississauga ON,+1 647-770-1746,,no website,https://demos.wrenchdigital.ca/mo-s-onsite-auto-fix,"Hey Mo, check out a free demo for your auto repair business: https://demos.wrenchdigital.ca/mo-s-onsite-auto-fix",Boost Your Auto Repair Business Online,"Hi Mo, I'm Shaan from Wrench Digital. I noticed Mo's Onsite Auto Fix doesn't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/mo-s-onsite-auto-fix. Let's chat about growing your business online."
Complete Auto Repair Specialist,auto repair,Mississauga ON,+1 647-530-7760,,no website,https://demos.wrenchdigital.ca/complete-auto-repair-specialist,"Hey, check out your free auto repair website demo: https://demos.wrenchdigital.ca/complete-auto-repair-specialist",Take Complete Auto Repair Specialist Online,"Hi, I'm Shaan from Wrench Digital. I noticed Complete Auto Repair Specialist doesn't have a website. I'd like to offer a free demo: https://demos.wrenchdigital.ca/complete-auto-repair-specialist. Let's discuss how a website can help your business."
Best Auto Repair Service Inc,auto repair,Mississauga ON,+1 905-275-3341,,no website,https://demos.wrenchdigital.ca/best-auto-repair-service-inc,"Hey, check out your free auto repair website demo: https://demos.wrenchdigital.ca/best-auto-repair-service-inc",Boost Your Auto Repair Business Online,"Hi Best Auto Repair Service Inc, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer a free demo: https://demos.wrenchdigital.ca/best-auto-repair-service-inc. Let's discuss how a website can help your business."
Royal Windsor Auto Service,auto repair,Mississauga ON,+1 905-822-2886,,no website,https://demos.wrenchdigital.ca/royal-windsor-auto-service,"Hey, I'm Shaan from Wrench Digital. Check out your free auto repair website demo: https://demos.wrenchdigital.ca/royal-windsor-auto-service",Get Online with a Professional Website,"Hi Royal Windsor Auto Service, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/royal-windsor-auto-service"
