name,type,city,phone,email,website_status,demo_url,text_message,email_subject,email_body
Deniese Auto Tech,auto repair,Mississauga ON,+1 905-593-8899,,no website,https://demos.wrenchdigital.ca/deniese-auto-tech,"Hey Deniese Auto Tech, check out your free website demo: https://demos.wrenchdigital.ca/deniese-auto-tech",Boost Your Auto Repair Business Online,"Hi Deniese Auto Tech, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/deniese-auto-tech. Let's chat about growing your business online."
Credit Valley Landscaping,landscaping,Mississauga ON,+1 647-512-6113,,no website,https://demos.wrenchdigital.ca/credit-valley-landscaping,"Hey Credit Valley, I'm Shaan from Wrench Digital. Check out your free demo website: https://demos.wrenchdigital.ca/credit-valley-landscaping",Boost Your Landscaping Business Online,"Hi Credit Valley Landscaping, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/credit-valley-landscaping"
Goodsprings Landscaping,landscaping,Mississauga ON,+1 416-770-6750,,website very poor,https://demos.wrenchdigital.ca/goodsprings-landscaping,"Hey Goodsprings, check out your free landscaping website demo: https://demos.wrenchdigital.ca/goodsprings-landscaping",Boost Your Landscaping Business Online,"Hi Goodsprings Landscaping, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer a free demo: https://demos.wrenchdigital.ca/goodsprings-landscaping. Let's discuss how a website can grow your business."
Longividade Cleaning Inc.,cleaning service,Mississauga ON,+1 437-984-5895,,no website,https://demos.wrenchdigital.ca/longividade-cleaning-inc,"Hey, I'm Shaan from Wrench Digital. Get a free demo website: https://demos.wrenchdigital.ca/longividade-cleaning-inc",Get Online with Wrench Digital,"Hi Longividade Cleaning Inc., I'm Shaan from Wrench Digital. I noticed you don't have a website and I'd love to help. Check out a free demo: https://demos.wrenchdigital.ca/longividade-cleaning-inc"
Merry Maids of Mississauga,cleaning service,Mississauga ON,+1 905-891-8735,,no website,https://demos.wrenchdigital.ca/merry-maids-of-mississauga,"Hi, I'm Shaan from Wrench Digital. Get a free website demo: https://demos.wrenchdigital.ca/merry-maids-of-mississauga",Get Found Online with Wrench Digital,"Hi Merry Maids of Mississauga, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/merry-maids-of-mississauga"
Sunrise-Cleaning,cleaning service,Mississauga ON,+1 905-567-1199,,no website,https://demos.wrenchdigital.ca/sunrise-cleaning,"Hey Sunrise-Cleaning, check out your free demo website: https://demos.wrenchdigital.ca/sunrise-cleaning",Get Online with a Professional Website,"Hi Sunrise-Cleaning, I'm Shaan from Wrench Digital. I noticed you don't have a website and I'd like to help. Check out a free demo: https://demos.wrenchdigital.ca/sunrise-cleaning. Let's get you online!"
No More Chores of Mississauga Cleaning,cleaning service,Mississauga ON,+1 647-797-1617,,no website,https://demos.wrenchdigital.ca/no-more-chores-of-mississauga-cleaning,"Hey, check out your free demo: https://demos.wrenchdigital.ca/no-more-chores-of-mississauga-cleaning",Boost Your Online Presence with Wrench Digital,"Hi, I'm Shaan from Wrench Digital. I noticed No More Chores of Mississauga Cleaning doesn't have a website. I'd like to offer a free demo: https://demos.wrenchdigital.ca/no-more-chores-of-mississauga-cleaning. Let's chat about how a website can help your business."
Cleany Mississauga,cleaning service,Mississauga ON,+1 905-247-6781,,no website,https://demos.wrenchdigital.ca/cleany-mississauga,"Hey, free demo for Cleany Mississauga: https://demos.wrenchdigital.ca/cleany-mississauga",Take Cleany Mississauga Online,"Hi, I'm Shaan from Wrench Digital. I noticed Cleany Mississauga doesn't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/cleany-mississauga"
InspireClean Mississauga,cleaning service,Mississauga ON,+1 905-991-4312,,no website,https://demos.wrenchdigital.ca/inspireclean-mississauga,"Hey InspireClean, check out your free demo website: https://demos.wrenchdigital.ca/inspireclean-mississauga",Get Online with a Professional Website,"Hi InspireClean Mississauga, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer a free demo: https://demos.wrenchdigital.ca/inspireclean-mississauga. Let's chat about getting you online!"
Mahmoud Plumber | Emergency Plumbing Mississauga,plumber,Mississauga ON,+1 437-218-6580,,no website,https://demos.wrenchdigital.ca/mahmoud-plumber-emergency-plumbing-mississauga,"Hey Mahmoud, check out your free plumbing website demo: https://demos.wrenchdigital.ca/mahmoud-plumber-emergency-plumbing-mississauga",Get Online with a Professional Website,"Hi Mahmoud, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/mahmoud-plumber-emergency-plumbing-mississauga"
