name,type,city,phone,email,website_status,demo_url,text_message,email_subject,email_body
Lorne Park Plumbing,plumber,Mississauga ON,+1 647-360-8965,,website broken,https://demos.wrenchdigital.ca/lorne-park-plumbing,"Hey Lorne Park Plumbing, check out your free demo website: https://demos.wrenchdigital.ca/lorne-park-plumbing",Boost Your Plumbing Business with a Website,"Hi Lorne Park Plumbing, I'm Shaan from Wrench Digital. I noticed you don't have a website and I'd love to help. Check out a free demo: https://demos.wrenchdigital.ca/lorne-park-plumbing. Let's discuss how a website can grow your business."
Master Drain and Water Works,plumber,Mississauga ON,,,website broken,https://demos.wrenchdigital.ca/master-drain-and-water-works,"Hey, check out your free plumbing website demo: https://demos.wrenchdigital.ca/master-drain-and-water-works",Boost Your Plumbing Business Online,"Hi, I'm Shaan from Wrench Digital. I noticed Master Drain and Water Works doesn't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/master-drain-and-water-works"
Peel Electrical Contractors Inc- Electrical Contractors GTA,electrician,Mississauga ON,+1 416-529-9234,,website broken,https://demos.wrenchdigital.ca/peel-electrical-contractors-inc-electrical-contractors-gta,"Hey, I'm Shaan from Wrench Digital. Get a free website demo: https://demos.wrenchdigital.ca/peel-electrical-contractors-inc-electrical-contractors-gta",Boost Your Online Presence with Wrench Digital,"Hi Peel Electrical Contractors Inc, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/peel-electrical-contractors-inc-electrical-contractors-gta"
Lam's Electric,electrician,Mississauga ON,+1 647-921-8623,,website broken,https://demos.wrenchdigital.ca/lam-s-electric,"Hey Lam's Electric, check out your free website demo: https://demos.wrenchdigital.ca/lam-s-electric",Get Online with a Professional Website,"Hi Lam's Electric, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/lam-s-electric. Let's chat about getting you online."
The Electrical Works Ltd.,electrician,Mississauga ON,+1 416-252-0561,,website broken,https://demos.wrenchdigital.ca/the-electrical-works-ltd,Free website demo for The Electrical Works Ltd: https://demos.wrenchdigital.ca/the-electrical-works-ltd,Get Online with a Professional Website,"Hi, I'm Shaan from Wrench Digital. I noticed The Electrical Works Ltd. doesn't have a website. I'd like to offer a free demo: https://demos.wrenchdigital.ca/the-electrical-works-ltd. Let's chat about getting you online!"
HVAC-Group,hvac,Mississauga ON,+1 416-807-2752,,website very poor,https://demos.wrenchdigital.ca/hvac-group,"Hey HVAC-Group, check out your free website demo: https://demos.wrenchdigital.ca/hvac-group",Take HVAC-Group Online with a Professional Website,"Hi HVAC-Group, I'm Shaan from Wrench Digital. I noticed you don't have a website and I'd like to help. Check out a free demo: https://demos.wrenchdigital.ca/hvac-group. Let's discuss how a website can grow your business."
HVAC X Supply - Mississauga,hvac,Mississauga ON,+1 416-399-9330,,website broken,https://demos.wrenchdigital.ca/hvac-x-supply-mississauga,"Hey, free demo for HVAC X Supply: https://demos.wrenchdigital.ca/hvac-x-supply-mississauga",Boost Your HVAC Business Online,"Hi, I'm Shaan from Wrench Digital. I noticed HVAC X Supply doesn't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/hvac-x-supply-mississauga"
Air Factor,hvac,Mississauga ON,+1 647-283-1872,,no website,https://demos.wrenchdigital.ca/air-factor,"Hey Air Factor, check out your free demo website: https://demos.wrenchdigital.ca/air-factor",Take Air Factor Online with a Free Demo,"Hi Air Factor team, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer a free demo: https://demos.wrenchdigital.ca/air-factor. Let's chat about getting you online starting at $699."
Greener Land,landscaping,Brampton ON,+1 647-766-9906,,website broken,https://demos.wrenchdigital.ca/greener-land,"Hey Greener Land, check out your free demo website: https://demos.wrenchdigital.ca/greener-land",Elevate Your Landscaping Business Online,"Hi Greener Land, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer a free demo: https://demos.wrenchdigital.ca/greener-land. Let's grow your business together!"
True north Landscape management,landscaping,Brampton ON,+1 647-778-5818,,no website,https://demos.wrenchdigital.ca/true-north-landscape-management,"Hey True North, check out your free demo website: https://demos.wrenchdigital.ca/true-north-landscape-management",Elevate Your Landscaping Business Online,"Hi True North Landscape team, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo I created for you: https://demos.wrenchdigital.ca/true-north-landscape-management. Let's grow your online presence!"
